Category,Title,Authors,Categories,PriceNIS,PriceUSD,Year,Synopsis,SynopsisLength,NumberOfReviews,StarRating,Language,Format,Dimensions,DimensionsUnit,ISBN13,book_url,Weight,WeightUnit,ISBN,IsExpensive,NumberOfAuthors
Language And Linguistics,Storyfun for Movers Level 3 Student's Book with Online Activities and Home Fun Booklet 3,Karen Saxby,"English,Language teaching and learning: second or additional language",96.66,32.12,2017.0,"Storyfun Level 3 Student's Book provides full-colour preparation material for Cambridge English: Movers. It contains eight fully-illustrated stories with accompanying activities for students to enjoy. These include songs and exam-style questions that practise the grammar, vocabulary and skills needed at each level. Extra speaking practice and projects provide opportunities for extension beyond the units. The Student's Book now comes with a Home Fun Booklet which provides activities for students to complete at home, and allows parents to support learning. Fun Online Activities in the Cambridge Learning Management System (CLMS) are accessed via a code in the front of the book.",683.0,0,None,English,Paperback,"30.6,21.8,0.6",cm,9781316617151,https://www.bookdelivery.com/il-en/book-storyfun-for-movers-level-3-student-s-book-with-online-activities-and-home-fun-booklet-3/9781316617151/p/48177246,0.34,kg,,1,1
"Earth Sciences, Geography, Environment, Planning","Storytelling for Nature Connection: Environment, Community and Story-Based Learning","Gersie, Alida,Nanson, Anthony,Schieffelin, Edward","Rural communities,Education,Environmental conservation",67.75,22.51,2022.0,"This unique resource offers new ideas, stories, creative activities, and methods for people working in conservation, outdoor learning, environmental education, youthwork, business training, sustainability, health, social and economic change. It shows how to encourage pro-environmental behavior in diverse participants: from organization consultants and employees, to families, youth and schoolchildren. The stories and their exploration engage people with nature in profound ways. The book describes how this engagement enhances participants' emotional literacy and resilience, builds community, raises awareness of inter-species communication and helps people to create a sustainable future together. Its innovative techniques establish connections between place and sustainability. Facilitators can adapt all of this to their own situation.",843.0,0,None,English,Paperback,"22.6,15.2,2.3",cm,9781912480593,https://www.bookdelivery.com/il-en/book-storytelling-for-nature-connection-environment-community-and-story-based-learning/9781912480593/p/54255547,0.68,kg,,0,6
"Graphic Novels, Comic Books, Cartoons",Stranger Things: Afterschool Adventures Omnibus (Graphic Novel),"Pak, Greg,Lore, Danny,Favoccia, Valeria","Graphic novels / comics: inspired by or adapted from non-book works,Graphic novels / comics: horror,Graphic novels / comics: science fiction",74.08,24.62,2022.0,"Three exciting standalone comics stories from the world of Stranger Things! Each focuses on younger characters from the Netflix hit, making this the perfect gift for any young fan. Collects: Stanger Things: Zombie Boys, Stanger Things: The Bully, and Stanger Things: Erica The Great In Zombie Boys It's spring in the normally quiet town of Hawkins, Indiana. Mike, Lucas, Dustin, and Will grapple with the traumatic encounters they had with the Demogorgon-the stress building tension in their crew. Just in time to distract them, Spielberg-wannabe, Joey Kim, joins their AV club with a Betamax Camcorder and a vision--to make the scariest movie Hawkins Middle School has ever seen. In The Bully Troy has been having nightmares about El ever since she embarrassed him in front of the school and broke his arm with telekinesis. Powerless and anxious, Troy is determined to prove that what happened between him and El is only some form of trickery. That is until he and his friend James encounter demodogs! In Erica The Great With the Starcourt Mall's recent destruction, Erica has lost her favorite hangout spot and her 'free ice cream for life' deal at Scoops-Ahoy. To make matters worse, her brother is too busy for her and her mom won't let her play Dungeons & Dragons anymore. This is the story of an ambitious, bossy, brilliant ten-year-old dealing with the complexities of maintaining friendships and learning how to compromise.",1431.0,0,None,English,Paperback,"22.6,15.0,1.3",cm,9781506727738,https://www.bookdelivery.com/il-en/book-stranger-things-afterschool-adventures-omnibus-graphic-novel/9781506727738/p/54260604,0.36,kg,,0,6
Arts,Stranger Things: The Ultimate Pop-Up Book,Kyle Lambert,"Art history,Cinema: styles and genres,Film, television or radio genres: science fiction, fantasy and horror,Popular culture",183.34,60.92,2022.0,"Embark on an explosive 3D journey through the world of Netflix’s hit series Stranger Things with the only officially licensed Stranger Things pop-up book. Netflix’s Emmy Award–winning series Stranger Things has captivated the imaginations of millions of viewers all around the world. Now fans can experience the series like never before with stunning, pop-off-the-page re-creations of iconic moments from the show. Inside, readers will adventure alongside Eleven and Mike Wheeler, crack the Russian code with Steve Harrington at Scoops Ahoy, face off against the terrifying Demogorgon, and much more. Featuring five richly detailed spreads packed with jaw-dropping pops, Stranger Things: The Ultimate Pop-Up Book is an explosive, must-have guide to Hawkins, Indiana, the Upside Down, and beyond. INTERACTIVE JOURNEY: Readers adventure alongside Eleven and Mike Wheeler, crack the Russian code with Steve Harrington at Scoops Ahoy, face off against the terrifying Demogorgon, and much more. EXPLOSIVE VISUALS: Features five richly detailed spreads packed with jaw-dropping, pop-off-the-page recreations of iconic moments from the show. GORGEOUS ILLUSTRATIONS: Stunning original artwork by renowned Stranger Things key art illustrator Kyle Lambert depicts beloved characters and familiar settings from Hawkins, Indiana, and the Upside Down. IMMERSIVE FORMAT: Dynamic 360-format allows participation from all sides, while interactive flaps and pull tabs reveal hidden surprises throughout the book. MASTER PAPER ENGINEERS: Designed by paper engineer Simon Arizpe with creative direction from Matthew Reinhart. COMPLETE YOUR STRANGER THINGS COLLECTION: Discover more striking original artwork from Hawkins, Indiana with Stranger Things Tarot Deck and Guidebook, also available!",1773.0,1,5.0,English,Hardcover,"28.9,22.6,8.3",cm,9781647221263,https://www.bookdelivery.com/il-en/book-stranger-things-the-ultimate-pop-up-book/9781647221263/p/54265739,1.25,kg,,1,1
Society And Social Sciences,Stranger Things: The Ultimate Pop-Up Book,Kyle Lambert,"Art history,Cinema: styles and genres,Film, television or radio genres: science fiction, fantasy and horror,Popular culture",183.34,60.92,2022.0,"Embark on an explosive 3D journey through the world of Netflix’s hit series Stranger Things with the only officially licensed Stranger Things pop-up book. Netflix’s Emmy Award–winning series Stranger Things has captivated the imaginations of millions of viewers all around the world. Now fans can experience the series like never before with stunning, pop-off-the-page re-creations of iconic moments from the show. Inside, readers will adventure alongside Eleven and Mike Wheeler, crack the Russian code with Steve Harrington at Scoops Ahoy, face off against the terrifying Demogorgon, and much more. Featuring five richly detailed spreads packed with jaw-dropping pops, Stranger Things: The Ultimate Pop-Up Book is an explosive, must-have guide to Hawkins, Indiana, the Upside Down, and beyond. INTERACTIVE JOURNEY: Readers adventure alongside Eleven and Mike Wheeler, crack the Russian code with Steve Harrington at Scoops Ahoy, face off against the terrifying Demogorgon, and much more. EXPLOSIVE VISUALS: Features five richly detailed spreads packed with jaw-dropping, pop-off-the-page recreations of iconic moments from the show. GORGEOUS ILLUSTRATIONS: Stunning original artwork by renowned Stranger Things key art illustrator Kyle Lambert depicts beloved characters and familiar settings from Hawkins, Indiana, and the Upside Down. IMMERSIVE FORMAT: Dynamic 360-format allows participation from all sides, while interactive flaps and pull tabs reveal hidden surprises throughout the book. MASTER PAPER ENGINEERS: Designed by paper engineer Simon Arizpe with creative direction from Matthew Reinhart. COMPLETE YOUR STRANGER THINGS COLLECTION: Discover more striking original artwork from Hawkins, Indiana with Stranger Things Tarot Deck and Guidebook, also available!",1773.0,1,5.0,English,Hardcover,"28.9,22.6,8.3",cm,9781647221263,https://www.bookdelivery.com/il-en/book-stranger-things-the-ultimate-pop-up-book/9781647221263/p/54265739,1.25,kg,,1,1
Fiction And Related Themes,Stranger in a Strange Land,"Heinlein, Robert A.","Classic fiction,Science fiction: aliens/ufos",40.62,13.5,2018.0,"Robert Heinlein's Hugo Award-winning all-time masterpiece, the brilliant novel that grew from a cult favorite to a bestseller to a science fiction classic. Raised by Martians on Mars, Valentine Michael Smith is a human who has never seen another member of his species. Sent to Earth, he is a stranger who must learn what it is to be a man. But his own beliefs and his powers far exceed the limits of humankind, and as he teaches them about grokking and water-sharing, he also inspires a transformation that will alter Earth's inhabitants forever...",548.0,0,None,English,Paperback,"18.5,10.7,3.3",cm,9781984802781,https://www.bookdelivery.com/il-en/book-stranger-in-a-strange-land/9781984802781/p/50566121,0.32,kg,,0,2
Computing And Information Technology,Street Fighter Classic Volume 3: Fighter's Destiny,"Siu-Chong, Ken,Lee, Alvin,Tsang, Arnold","Computer games/online games: strategy guides,Graphic novels / comics: inspired by or adapted from non-book works",73.55,24.44,2018.0,"The action-packed Street Fighter saga continues as Ryu travels through Asia, meeting fighters he hopes will help him in his journey toward avenging his master's death. Through his exploits he encounters the Yoga Master, Dhalsim, the King of Muay Thai, Sagat, and the mysterious and deadly ex-assassin, Gen. Meanwhile, Chun-Li and Cammy travel to Mexico to uncover the secrets behind the evil Shadaloo Syndicate's Doll Agents. Collects Street Fighter II #0-6 plus bonus stories.",477.0,1,5.0,English,Paperback,"25.7,16.5,1.0",cm,9781772940725,https://www.bookdelivery.com/il-en/book-street-fighter-classic-volume-3-fighter-s-destiny/9781772940725/p/51121621,0.41,kg,,0,6
Computing And Information Technology,Street Fighter Classic Volume 3: Psycho Crusher,"Siu-Chong, Ken,Cruz, Jeffrey Chamba,Lewis, Corey","Computer games/online games: strategy guides,Graphic novels / comics: inspired by or adapted from non-book works",143.41,47.65,,"Presenting UDON's classic Street Fighter comics in a gorgeous, oversized hardcover! It's all the pulse-pounding martial arts action of the ultimate fighting game experience, presented through spectacular anime-influenced artwork! In Volume 3, Ryu, Ken, Chun-Li, Guile, Cammy, and more have finally reached the Street Fighter tournament! Some seek revenge, others aim to uncover M.Bison's secrets, while others still are simply looking for a good fight! It's all-out no-holds-barred martial arts action with the fate of the world at stake! Collects Street Fighter II Turbo #1-12.",578.0,1,5.0,English,Hardcover,"29.2,21.6,2.5",cm,9781927925027,https://www.bookdelivery.com/il-en/book-street-fighter-classic-volume-3-psycho-crusher/9781927925027/p/50137719,1.52,kg,,1,6
Outdoor Sports And Leisure Activities,Strength Training for Soccer,daniel guzman,"Sports training and coaching,European football (soccer),Weightlifting,Bodybuilding",112.48,37.37,2022.0,"Tailoring strength and conditioning programs for soccer requires a deep understanding of the demands of the game. Preparing players to accelerate, decelerate, change direction, and turn and jump can be a challenge. Developed with the expertise of the National Strength and Conditioning Association (NSCA), Strength Training for Soccer explains the value of resistance training for soccer players. The book--backed by practical experience, evidence-based training methodologies, and research--provides a general overarching biomechanical analysis of soccer and specific analysis of the physical demands of each position: goalkeepers, defenders, midfielders, and forwards. Using these analyses, you can design an effective training program that translates to performance on the field. The book also offers the following: 10 detailed protocols to test soccer players' strength, power, speed, agility, and high-intensity aerobic endurance capacity6 total body resistance exercises with 4 variations11 lower body exercises with 23 variations18 upper body exercises with 44 variations22 anatomical core exercises with 32 variations27 sample programs for off-season, preseason, in-season, and postseason resistance training Each resistance training exercise consists of a series of photos and a detailed list of primary muscles trained, beginning position and movement phases, breathing guidelines, modifications and variations, and coaching tips. You'll also learn proper exercise technique and gain a deeper understanding of what muscles are involved in each exercise so you can develop a complete and targeted resistance training program. Backed by the NSCA and the knowledge and experience of individuals who have years of experience as strength and conditioning professionals for soccer, Strength Training for Soccer is the authoritative resource for creating soccer-specific resistance training programs to help your athletes optimize their strength and successfully transfer that strength and power to the soccer field. Earn continuing education credits/units! A continuing education course and exam that uses this book is also available. It may be purchased separately or as part of a package that includes all the course materials and exam.",2242.0,0,None,English,Paperback,"25.1,17.5,1.8",cm,9781492598343,https://www.bookdelivery.com/il-en/book-strength-training-for-soccer/9781492598343/p/54300557,0.56,,,1,1
Outdoor Sports And Leisure Activities,Strength and Conditioning for Dancers,"Professor Clarke Matthew Wyonsefton,Clarke, Sefton","Dance,Sports: general,Exercise and physical training books",80.89,26.88,2021.0,"Strength and Conditioning for Dancers is an accessible guide to how to design and incorporate supplemental fitness training into a dancer's schedule. It links current evidence on the relationship between physical fitness, dance performance and injury incidence, breaking it down into clear and convenient sections, starting with the fundamentals of muscle physiology and training principles and moving on to specific training components. Key topics covered in the book include: self-screening; programme design; specific exercises for the core, upper and lower body; basic Pilates; nutritional support for training and finally, programmes to get you started. Featuring practical training programmes to get you started, this user-friendly book will be of great value to dancers, teachers and trainers looking to enhance both fitness and performance.",848.0,0,None,English,Paperback,"24.1,17.4,1.0",cm,9781785009778,https://www.bookdelivery.com/il-en/book-strength-and-conditioning-for-dancers/9781785009778/p/54016855,0.45,kg,,1,3
"Economics, Finance, Business And Management","Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",Gallup,Management: leadership and motivation,133.43,44.33,,"From Gallup: a landmark study of great leaders, teams and the reasons why people follow. More than a decade ago, Gallup unveiled the results of a landmark 30-year research project that ignited a global conversation on the topic of strengths. Since then, more than 23 million people have taken Gallup's CliftonStrengths (formerly StrengthsFinder) assessment, which forms the core of several books on this topic, including the #1 international bestseller StrengthsFinder 2.0. In recent years, while continuing to learn more about strengths, Gallup scientists have also been examining decades of data on the topic of leadership. They studied more than 1 million work teams, conducted more than 20,000 in-depth interviews with leaders, and even interviewed more than 10,000 followers around the world to ask exactly why they followed the most important leader in their life. Gallup reveals the results of this research in Strengths Based Leadership. Based on Gallup's discoveries, the book identifies three keys to being a more effective leader: knowing your strengths and investing in others' strengths, getting people with the right strengths on your team, and understanding and meeting the four basic needs of those who look to you for leadership. As you read Strengths Based Leadership, you'll hear firsthand accounts from some of the most successful organizational leaders in recent history, from the founder of Teach For America to the president of The Ritz-Carlton, as they discuss how their unique strengths have driven their success. Filled with novel research and actionable ideas, Strengths Based Leadership will give you a new road map for leading people toward a better future.",1686.0,0,None,English,Hardcover,"21.8,14.0,2.5",cm,9781595620255,https://www.bookdelivery.com/il-en/book-strengths-based-leadership-great-leaders-teams-and-why-people-follow/9781595620255/p/2086922,0.45,kg,1595620257,1,1
"Children’s, Young Adult And Educational",Strictly No Elephants,"Mantchev, Lisa,Yoo, Taeeun","Children’s / young adult fiction: general fiction,Children’s / young adult fiction: animal and nature stories,Children/young adult, general interest: pets and their care,Children/young adult, general interest: large land mammals,Infant / youth, personal and social issues: friends and friendship",56.64,18.82,,"'A sunny, smart, tongue-in-cheek tale.' --The New York Times Book Review 'Sweet and affirming.' --Kirkus Reviews 'With a gentle message of inclusion and helping others, this title reaches beyond a mere friendship story.'--School Library Journal 'Heartening.'--Booklist In this bestselling and internationally beloved picture book, the local Pet Club won't admit a boy's tiny pet elephant, so he finds a solution--one that involves all kinds of unusual animals. Today is Pet Club day. There will be cats and dogs and fish, but strictly no elephants are allowed. The Pet Club doesn't understand that pets come in all shapes and sizes, just like friends. Now it is time for a boy and his tiny pet elephant to show them what it means to be a true friend. Strictly No Elephants has been sold around the world and is heralded as a pitch-perfect book about inclusion. Imaginative and lyrical, this sweet story captures the magic of friendship and the joy of having a pet.",964.0,1,5.0,English,Hardcover,"25.9,23.6,1.0",cm,9781481416474,https://www.bookdelivery.com/il-en/book-strictly-no-elephants/9781481416474/p/48438892,0.43,kg,,0,4
History And Archaeology,Strong men Armed,"Leckie, Robert","Japan,United states of america,C. 1939–c. 1945 (era of the second world war),Asian history,Second world war",85.52,28.42,2010.0,"Strong Men Armed relates the U.S. Marines' unprecedented, relentless drive across the Pacific during World War II, from Guadalcanal to Okinawa, detailing their struggle to dislodge from heavily fortified islands an entrenched enemy who had vowed to fight to extinction -- and did. (All but three of the Marines' victories required the complete annihilation of the Japanese defending force.) As scout and machine-gunner for the First Marine Division, the author fought in all its engagements till his wounding at Peleliu. Here he uses firsthand experience and impeccable research to re-create the nightmarish battles. The result is both an exciting chronicle and a moving tribute to the thousands of men who died in reeking jungles and on palm-studded beaches, thousands of miles from home and fifty years before their time, of whom Admiral Chester W. Nimitz once said, Uncommon valor was a common virtue.Strong Men Armed includes over a dozen maps, a chronology of the war in the Pacific, the Marine Medal of Honor Winners in World War II, and Marine Corps aces in World War II.",1078.0,0,None,English,Paperback,"20.8,14.3,4.0",cm,9780306818875,https://www.bookdelivery.com/il-en/book-strong-men-armed/9780306818875/p/3123884,0.58,kg,9780306818875,1,2
"Technology, Engineering, Agriculture, Industrial Processes",Structural Reliability Analysis and Prediction,"Robert E. Melchers,Andre T. Beck","Mechanical engineering,Civil engineering, surveying and construction",351.48,116.78,,"Structural Reliability Analysis and Prediction, Third Edition is a textbook which addresses the important issue of predicting the safety of structures at the design stage and also the safety of existing, perhaps deteriorating structures. Attention is focused on the development and definition of limit states such as serviceability and ultimate strength, the definition of failure and the various models which might be used to describe strength and loading. This book emphasises concepts and applications, built up from basic principles and avoids undue mathematical rigour. It presents an accessible and unified account of the theory and techniques for the analysis of the reliability of engineering structures using probability theory. This new edition has been updated to cover new developments and applications and a new chapter is included which covers structural optimization in the context of reliability analysis. New examples and end of chapter problems are also now included.",985.0,0,None,English,Paperback,"24.1,17.0,2.8",cm,9781119265993,https://www.bookdelivery.com/il-en/book-structural-reliability-analysis-and-prediction/9781119265993/p/48928221,0.91,,,1,2
Computing And Information Technology,Structure and Interpretation of Computer Programs - 2nd Edition (Mit Electrical Engineering and Computer Science),"Harold Abelson,Gerald Jay Sussman",Computer science,193.68,64.35,1996.0,"Structure and Interpretation of Computer Programs has had a dramatic impact on computer science curricula over the past decade. This long-awaited revision contains changes throughout the text. There are new implementations of most of the major programming systems in the book, including the interpreters and compilers, and the authors have incorporated many small changes that reflect their experience teaching the course at MIT since the first edition was published. A new theme has been introduced that emphasizes the central role played by different approaches to dealing with time in computational models: objects with state, concurrent programming, functional programming and lazy evaluation, and nondeterministic programming. There are new example sections on higher-order procedures in graphics and on applications of stream processing in numerical programming, and many new exercises. In addition, all the programs have been reworked to run in any Scheme implementation that adheres to the IEEE standard.",1012.0,1,5.0,English,Paperback,,,9780262510875,https://www.bookdelivery.com/il-en/book-structure-and-interpretation-of-computer-programs-2nd-edition-mit-electrical-engineering-and-computer-science/9780262510875/p/3333443,,,0262510871,1,2
"Reference, Information And Interdisciplinary Subjects",Structured Clinical Interview for Dsm-5(R) Personality Disorders (Scid-5-Pd),"First, Michael B.,Williams, Janet B. W.,Benjamin, Lorna Smith","Reference works,Abnormal psychology,Psychiatry",247.57,82.25,,"The Structured Clinical Interview for DSM-5(R) Personality Disorders (SCID-5-PD) is a semistructured diagnostic interview for clinicians and researchers to assess the 10 DSM-5 Personality Disorders across Clusters A, B, and C as well as Other Specified Personality Disorder. Designed to build rapport, the SCID-5-PD can be used to make personality disorder diagnoses, either categorically (present or absent) or dimensionally. The SCID-5-PD includes interview and the handy self-report screening questionnaire for patients or subjects, the Structured Clinical Interview for DSM-5(R) Screening Personality Questionnaire (SCID-5-SPQ).The SCID-5-PD is the updated version of the former Structured Clinical Interview for DSM-IV Axis II Personality Disorders (SCID-II). The SCID-5-PD name reflects the elimination of the multiaxial system in DSM-5. Although the DSM-IV Personality Disorder criteria are unchanged in DSM-5, the SCID-5-PD interview questions have been thoroughly reviewed and revised to optimally capture the construct embodied in the diagnostic criteria. In addition, a dimensional scoring component has been added to the SCID-5-PD.The basic structure of the SCID-5-PD is similar to the other SCID-5 interviews (such as the Research Version, SCID-5-RV; and the Clinician Version, SCID-5-CV) that cover non-personality DSM-5 disorders. Features include the following: - Questions assessing the DSM-5 criteria for each of the 10 personality disorders: Avoidant Personality Disorder, Dependent Personality Disorder, Obsessive-Compulsive Personality Disorder, Paranoid Personality Disorder, Schizotypal Personality Disorder, Schizoid Personality Disorder, Histrionic Personality Disorder, Narcissistic Personality Disorder, Borderline Personality Disorder, and Antisocial Personality Disorder.- An optional SCID-5-SPQ that serves as a brief, 20-minute self-report screening tool to reduce the time of the SCID-5-PD clinical interview. The SCID-5-SPQ requires an eighth grade or higher reading level (as determined by the Flesch-Kincaid formula). Its 106 questions correspond directly to each first question in the full SCID-5-PD. The SCID-5-PD can be used in various types of research studies, just as the SCID-II. It has been used to investigate patterns of Personality Disorders co-occurring with other mental disorders or medical conditions; select a group of study subjects with a particular Personality Disorder; investigate the underlying structure of personality pathology; and compare with other assessment methods for Personality Disorders.The SCID-5-PD will serve as a valuable resource to help clinicians and researchers more accurately diagnose Personality Disorders.",2686.0,0,None,English,Paperback,"27.9,21.3,1.8",cm,9781585624744,https://www.bookdelivery.com/il-en/book-structured-clinical-interview-for-dsm-5-r-personality-disorders-scid-5-pd/9781585624744/p/48455965,0.95,kg,,1,6
"Medicine, Nursing, Veterinary Medicine",Structured Clinical Interview for Dsm-5(R) Personality Disorders (Scid-5-Pd),"First, Michael B.,Williams, Janet B. W.,Benjamin, Lorna Smith","Reference works,Abnormal psychology,Psychiatry",247.57,82.25,,"The Structured Clinical Interview for DSM-5(R) Personality Disorders (SCID-5-PD) is a semistructured diagnostic interview for clinicians and researchers to assess the 10 DSM-5 Personality Disorders across Clusters A, B, and C as well as Other Specified Personality Disorder. Designed to build rapport, the SCID-5-PD can be used to make personality disorder diagnoses, either categorically (present or absent) or dimensionally. The SCID-5-PD includes interview and the handy self-report screening questionnaire for patients or subjects, the Structured Clinical Interview for DSM-5(R) Screening Personality Questionnaire (SCID-5-SPQ).The SCID-5-PD is the updated version of the former Structured Clinical Interview for DSM-IV Axis II Personality Disorders (SCID-II). The SCID-5-PD name reflects the elimination of the multiaxial system in DSM-5. Although the DSM-IV Personality Disorder criteria are unchanged in DSM-5, the SCID-5-PD interview questions have been thoroughly reviewed and revised to optimally capture the construct embodied in the diagnostic criteria. In addition, a dimensional scoring component has been added to the SCID-5-PD.The basic structure of the SCID-5-PD is similar to the other SCID-5 interviews (such as the Research Version, SCID-5-RV; and the Clinician Version, SCID-5-CV) that cover non-personality DSM-5 disorders. Features include the following: - Questions assessing the DSM-5 criteria for each of the 10 personality disorders: Avoidant Personality Disorder, Dependent Personality Disorder, Obsessive-Compulsive Personality Disorder, Paranoid Personality Disorder, Schizotypal Personality Disorder, Schizoid Personality Disorder, Histrionic Personality Disorder, Narcissistic Personality Disorder, Borderline Personality Disorder, and Antisocial Personality Disorder.- An optional SCID-5-SPQ that serves as a brief, 20-minute self-report screening tool to reduce the time of the SCID-5-PD clinical interview. The SCID-5-SPQ requires an eighth grade or higher reading level (as determined by the Flesch-Kincaid formula). Its 106 questions correspond directly to each first question in the full SCID-5-PD. The SCID-5-PD can be used in various types of research studies, just as the SCID-II. It has been used to investigate patterns of Personality Disorders co-occurring with other mental disorders or medical conditions; select a group of study subjects with a particular Personality Disorder; investigate the underlying structure of personality pathology; and compare with other assessment methods for Personality Disorders.The SCID-5-PD will serve as a valuable resource to help clinicians and researchers more accurately diagnose Personality Disorders.",2686.0,0,None,English,Paperback,"27.9,21.3,1.8",cm,9781585624744,https://www.bookdelivery.com/il-en/book-structured-clinical-interview-for-dsm-5-r-personality-disorders-scid-5-pd/9781585624744/p/48455965,0.95,kg,,1,6
"Children’s, Young Adult And Educational",Student Solution Manual for Mathematical Methods for Physics and Engineering Third Edition,"Riley, K. F.,Hobson, M. P.","Teaching a specific subject,Teaching: sciences, general",143.0,47.51,2006.0,"Mathematical Methods for Physics and Engineering, Third Edition is a highly acclaimed undergraduate textbook that teaches all the mathematics for an undergraduate course in any of the physical sciences. As well as lucid descriptions of all the topics and many worked examples, it contains over 800 exercises. New stand-alone chapters give a systematic account of the 'special functions' of physical science, cover an extended range of practical applications of complex variables, and give an introduction to quantum operators. This solutions manual accompanies the third edition of Mathematical Methods for Physics and Engineering. It contains complete worked solutions to over 400 exercises in the main textbook, the odd-numbered exercises, that are provided with hints and answers. The even-numbered exercises have no hints, answers or worked solutions and are intended for unaided homework problems; full solutions are available to instructors on a password-protected web site, www.cambridge.org/9780521679718.",1013.0,0,None,English,Paperback,"24.4,17.5,2.5",cm,9780521679732,https://www.bookdelivery.com/il-en/book-student-solution-manual-for-mathematical-methods-for-physics-and-engineering-third-edition/9780521679732/p/2616544,1.04,kg,0521679737,1,4
Society And Social Sciences,Student Solution Manual for Mathematical Methods for Physics and Engineering Third Edition,"Riley, K. F.,Hobson, M. P.","Teaching a specific subject,Teaching: sciences, general",143.0,47.51,2006.0,"Mathematical Methods for Physics and Engineering, Third Edition is a highly acclaimed undergraduate textbook that teaches all the mathematics for an undergraduate course in any of the physical sciences. As well as lucid descriptions of all the topics and many worked examples, it contains over 800 exercises. New stand-alone chapters give a systematic account of the 'special functions' of physical science, cover an extended range of practical applications of complex variables, and give an introduction to quantum operators. This solutions manual accompanies the third edition of Mathematical Methods for Physics and Engineering. It contains complete worked solutions to over 400 exercises in the main textbook, the odd-numbered exercises, that are provided with hints and answers. The even-numbered exercises have no hints, answers or worked solutions and are intended for unaided homework problems; full solutions are available to instructors on a password-protected web site, www.cambridge.org/9780521679718.",1013.0,0,None,English,Paperback,"24.4,17.5,2.5",cm,9780521679732,https://www.bookdelivery.com/il-en/book-student-solution-manual-for-mathematical-methods-for-physics-and-engineering-third-edition/9780521679732/p/2616544,1.04,kg,0521679737,1,4
"Technology, Engineering, Agriculture, Industrial Processes",Studio 5000 Logix Designer: A Learning Guide for Controllogix Basics,"Anderson, Gary D.","Robotics,Computer programming/software development",61.48,20.43,2020.0,"Studio 5000 Logix Designer: A Learning Guide for ControlLogix BasicsPresents instructions and programming concepts in an easy to follow, step-by-step method by highlighting essential methods and techniques of using Studio 5000 Logix Designer software, and the ControlLogix platform. This book illustrates essential techniques and practices for effectively using Studio 5000 development software to build ControlLogix solutions by addressing key elements of PAC program development that must be understood, and built upon, to gain proficiency in troubleshooting or developing ControlLogix based projects.",603.0,0,None,English,Paperback,"23.5,19.1,0.9",cm,9781734189889,https://www.bookdelivery.com/il-en/book-studio-5000-logix-designer-a-learning-guide-for-controllogix-basics/9781734189889/p/52338852,0.29,kg,,0,2
Computing And Information Technology,Studio 5000 Logix Designer: A Learning Guide for Controllogix Basics,"Anderson, Gary D.","Robotics,Computer programming/software development",61.48,20.43,2020.0,"Studio 5000 Logix Designer: A Learning Guide for ControlLogix BasicsPresents instructions and programming concepts in an easy to follow, step-by-step method by highlighting essential methods and techniques of using Studio 5000 Logix Designer software, and the ControlLogix platform. This book illustrates essential techniques and practices for effectively using Studio 5000 development software to build ControlLogix solutions by addressing key elements of PAC program development that must be understood, and built upon, to gain proficiency in troubleshooting or developing ControlLogix based projects.",603.0,0,None,English,Paperback,"23.5,19.1,0.9",cm,9781734189889,https://www.bookdelivery.com/il-en/book-studio-5000-logix-designer-a-learning-guide-for-controllogix-basics/9781734189889/p/52338852,0.29,kg,,0,2
Society And Social Sciences,Studio Ghibli: Architecture in Animation,Studio Ghibli,"Art history,Animated films and animation,Popular culture",102.63,34.1,2024.0,"A deluxe art book featuring exclusive commentary, sketches, concept art, and paintings detailing the unique architecture in Studio Ghibli’s films. Explore the dazzling animated worlds of Spirited Away, Princess Mononoke, Nausicaä of the Valley of the Wind, and more with Studio Ghibli: Architecture in Animation! Learn how the visionary animation studio brings its vibrant worlds to life through hundreds of pieces of concept art, sketches, and background paintings that illuminate the architectural inspirations of Studio Ghibli’s animated classics. Distinctive interiors, imaginative exteriors, breathtaking landscapes, and the interplay between the three are all examined in detail through collected remarks from acclaimed director Hayao Miyazaki, exclusive commentary from renowned architect Terunobu Fujimori, and quotes from the artists and art directors of Studio Ghibli’s beloved films. Readers will learn of the historical, architectural, and personal inspirations behind such iconic and inventive buildings and structures as the bathhouse from Spirited Away, Howl’s moving castle, and Satsuki and Mei’s country home from My Neighbor Totoro. This book is the perfect gift for all fans of Studio Ghibli’s timeless movies. This book is the translated reprint edition of the catalog for the exhibition Studio Ghibli’s Architecture in Animation.",1350.0,2,5.0,English,Hardcover,"28.2,23.4,2.8",cm,9781974740864,https://www.bookdelivery.com/il-en/book-studio-ghibli-architecture-in-animation/9781974740864/p/56283907,0.69,kg,,1,1
